source,name,price,revenue,profit,multiple,description,url
QuietLight,Instant Listing Alerts,,,,,Straight to Your Mailbox,https://quietlight.com/amazon-fba-businesses-for-sale/
QuietLight,SBA Pre-Qualified Amazon FBA Health Supplement Company  15K Amazon Subscribers  US Manufacturing,,"Revenue $4,726,088",,,,https://quietlight.com/listings/13938228/
QuietLight,"7 Year Old Amazon FBA Shower Filter Business wNo Seasonality, Fantastic Reviews,  25% Net Margins",,"Revenue $9,835,387",,,,https://quietlight.com/listings/16050561/
QuietLight,Electrolyte Brand  US-Based Manufacturing  65% YoY Growth  20k Subs  $17.4M Revenue  $2.56M SDE,,"Revenue $17,442,054","SDE $530,000",,Straight to Your Mailbox,https://quietlight.com/listings/16065383/
QuietLight,"9-Year-Old Amazon FBA Stationery Brand  6,000 Reviews  4.6-Star Rating  Seller Finance Available",,"Revenue $4,615,205",,,,https://quietlight.com/listings/16381108/
QuietLight,Growing Amazon FBA Premium STEM Kids Toys  Ready International Expansion  Strong Reviews,,"Revenue $3,614,069",,,,https://quietlight.com/listings/16859412/
QuietLight,"SBA PQ  10-Yr-Old FBA, Category Best Seller  13% Rev  27% SDE YOY Growth  78,000 Reviews",,"Revenue $14,257,120",,,,https://quietlight.com/listings/12973521/
QuietLight,"Fast Growing Health Supplement Amazon FBA Business w 15,000 Subscriptions  32% Net Margins",,"Revenue $4,069,217",,,,https://quietlight.com/listings/15830388/
QuietLight,"Price Reduced 8-Year-Old Category-Leading Sleepwear and Socks FBA Business  $8M Revenue  40,000 Reviews  Seller Financing Available",,"Revenue $7,966,554",,,,https://quietlight.com/listings/16844681/
QuietLight,Gaming Furniture Business  56% YoY Growth  10 HrsWeek Operation  Multi-Country Revenue,,"Revenue $925,000",,,,https://quietlight.com/listings/13369216/
QuietLight,8-Year-Old Pet Safety Brand  20% Repeat Purchase Rate  21% YOY Revenue Growth Past 6 Mos.,,"Revenue $553,106",,,,https://quietlight.com/listings/13384086/
QuietLight,Fast Growing Amazon FBM  Used Cameras  Electronics  300% YoY Growth  Low Overhead,,"Revenue $3,568,938",,,,https://quietlight.com/listings/15594313/
QuietLight,7 Year Old Ladies Bag Amazon FBA UK Business wUSA Expansion Opportunity  Zero Advertising,,"Revenue $1,578,995",,,,https://quietlight.com/listings/16702772/
