"source","name","price","revenue","profit","multiple","description","url"
"QuietLight","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE","$17","Revenue: $17,442,054","","0.0x","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA","https://quietlight.com/listings/16065383/"
"QuietLight","SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews","$10,425,00","Revenue: $14,257,120","","0.07x","Under Offer SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews $10,425,000 Revenue: $14,257,120 Income: $2,978,291 Amazon FBA","https://quietlight.com/listings/12973521/"
"QuietLight","7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins","$10,200,00","Revenue: $9,835,387","","0.1x","Under Offer 7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins $10,200,000 Revenue: $9,835,387 Income: $2,427,197 Amazon FBA","https://quietlight.com/listings/16050561/"
"QuietLight","Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins","$8,000,00","Revenue: $4,069,217","","0.2x","Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins $8,000,000 Revenue: $4,069,217 Income: $1,332,198 Amazon FBA","https://quietlight.com/listings/15830388/"
"QuietLight","SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing","$4,000,00","Revenue: $4,726,088","","0.08x","SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing $4,000,000 Revenue: $4,726,088 Income: $1,125,198 Amazon FBA","https://quietlight.com/listings/13938228/"
"QuietLight","9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available","$2,235,00","Revenue: $4,615,205","","0.05x","9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available $2,235,000 Revenue: $4,615,205 Income: $638,584 Amazon FBA","https://quietlight.com/listings/16381108/"
"QuietLight","Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available","$8","Revenue: $7,966,554","","0.0x","Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available $2,200,000 Revenue: $7,966,554 Income: $847,856 Amazon FBA","https://quietlight.com/listings/16844681/"
"QuietLight","Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews","$1,150,00","Revenue: $3,614,069","","0.03x","Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews $1,150,000 Revenue: $3,614,069 Income: $555,779 Amazon FBA","https://quietlight.com/listings/16859412/"
"QuietLight","Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue","$925,00","Revenue

						$925,000","","0.1x","Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue $925,000 Revenue: $799,002 Income: $276,460 Amazon FBA","https://quietlight.com/listings/13369216/"
"QuietLight","8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.","$655,90","Revenue: $553,106","","0.12x","Under Offer 8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos. $655,900 Revenue: $553,106 Income: $218,636 Amazon FBA","https://quietlight.com/listings/13384086/"
"QuietLight","Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead","$650,00","Revenue: $3,568,938","","0.02x","Under Offer Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead $650,000 Revenue: $3,568,938 Income: $420,981 Amazon FBA","https://quietlight.com/listings/15594313/"
"QuietLight","7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising","$645,00","Revenue: $1,578,995","","0.04x","7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising $645,000 Revenue: $1,578,995 Income: $214,955 Amazon FBA","https://quietlight.com/listings/16702772/"
"QuietLight","8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE","$171","Revenue: $1,372,142","SDE

						$530,000","0.0x","Under Offer 8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE $530,000 Revenue: $1,372,142 Income: $171,144 Amazon FBA","https://quietlight.com/listings/9010087/"
