source,name,price,revenue,profit,description,url,multiple
BizQuest,Scalable Early Out & Patient Billing Company for Sale,"$10,000,000","$4,300,000","$128,018","$425,000",https://www.bizquest.com/business-for-sale/scalable-early-out-and-patient-billing-company-for-sale/BW2375730/,
BizQuest,Scalable Early Out & Patient Billing Company for Sale,,,"$128,018","$425,000",https://www.bizquest.com/businesses-for-sale-in-utah-ut/,
BizQuest,18 FedEx P&D Routes- Eastern Missouri 2.0 Express Integrated,,,"$264,43018","$899,000",https://www.bizquest.com/businesses-for-sale-in-missouri-mo/,
BizQuest,Profitable B2B Service Business with Strong Repeat Customer Base,,,"$139,995","$500,000",https://www.bizquest.com/businesses-for-sale-in-cedar-rapids-ia/,
BizQuest,39 FedEx P&D Routes -Southern Central United States,,,"$893,61839","$3,300,000",https://www.bizquest.com/businesses-for-sale-in-texas-tx/,
BizQuest,Great San Antonio pool route,,,"$122,379","$125,196",https://www.bizquest.com/businesses-for-sale-in-san-antonio-tx/,
BizQuest,Turnkey Shopify Security Business with Proven Profitability,,,"$88,000","$146,000",https://www.bizquest.com/businesses-for-sale-in-alabama-al/,
BizQuest,Great Lifestyle Business,,,"$85,000","$180,000",https://www.bizquest.com/businesses-for-sale-in-san-francisco-ca/,
BizQuest,Established Industrial Services Business- Fully Staffed w/ GM,,,"$427,243","$2,295,000",https://www.bizquest.com/businesses-for-sale-in-los-angeles-county-ca/,
BizQuest,Modern Workspace Franchise | Premium Amenities | Strategic Location,,,"$25,000","$200,000",https://www.bizquest.com/businesses-for-sale-in-kings-county-ny/,
BizQuest,17 FedEx P&D Routes - Central Michigan,,,"$440,22317","$1,800,000",https://www.bizquest.com/businesses-for-sale-in-michigan-mi/,
BizQuest,"Great Pool Route in Sarasota, FL",,,"$92,901","$95,040",https://www.bizquest.com/businesses-for-sale-in-sarasota-fl/,
BizQuest,7 FedEx P&D Routes - Upper Midwest,,,"$189,1977","$800,000",https://www.bizquest.com/businesses-for-sale-in-south-dakota-sd/,
BizQuest,Landscaping Service Company - Recurring Revenue - Central Mountains,,,"$167,000","$349,900",https://www.bizquest.com/businesses-for-sale-in-eagle-county-co/,
BizQuest,1 Bread Route - Eastern South Carolina,,,,"$300,000",https://www.bizquest.com/businesses-for-sale-in-south-carolina-sc/,
BizQuest,1 Bread Route - Eastern Tennessee,,,,"$255,000",https://www.bizquest.com/businesses-for-sale-in-tennessee-tn/,
BizQuest,10 FedEx P&D Routes - Eastern Virginia,,,"$304,65810","$1,000,000",https://www.bizquest.com/businesses-for-sale-in-virginia-va/,
BizQuest,1 Flowers Bread Route - Central Connecticut,,,,"$156,000",https://www.bizquest.com/businesses-for-sale-in-connecticut-ct/,
BizQuest,11 FedEx P&D Routes - Northwest Ohio,,,"$186,44611","$750,000",https://www.bizquest.com/businesses-for-sale-in-ohio-oh/,
BizQuest,"Successful,established owner/operator franchise territory for sale",,,,"$35,000",https://www.bizquest.com/businesses-for-sale-in-charlotte-nc/,
BizQuest,7 FedEx P&D Routes - New England,,,"$339,1057","$1,400,000",https://www.bizquest.com/businesses-for-sale-in-rhode-island-ri/,
BizQuest,High demand recession proof high profit business.,,,"$200,000","$50,000",https://www.bizquest.com/businesses-for-sale-in-florida-fl/,
BizQuest,NYC & Long Island Custom Suit Business w/ 70% Margins!,"$,",,,"$99,000",https://www.bizquest.com/businesses-for-sale-in-new-york-ny/,
