source,name,price,revenue,profit,description,url,category
QuietLight,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,"$20,299,000","$17,442,054","$530,000","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps Asking Price $20,299,000 Revenue: $16,973,677 Income: $3,340,187 Amazon FBA Inc 500 Nutri",https://quietlight.com/listings/16065383/,Amazon FBA
QuietLight,"SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews",,"$14,257,120",,"Under Offer SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews $10,425,000 Revenue: $14,257,120 Income: $2,978,291 Amazon FBA",https://quietlight.com/listings/12973521/,Amazon FBA
QuietLight,"7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins",,"$9,835,387",,"Under Offer 7 Year Old Amazon FBA Shower Filter Business w/No Seasonality, Fantastic Reviews, & 25% Net Margins $10,200,000 Revenue: $9,835,387 Income: $2,427,197 Amazon FBA",https://quietlight.com/listings/16050561/,Amazon FBA
QuietLight,"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins",,"$4,069,217",,"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins $8,000,000 Revenue: $4,069,217 Income: $1,332,198 Amazon FBA",https://quietlight.com/listings/15830388/,Amazon FBA
QuietLight,SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing,,"$4,726,088",,"SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing $4,000,000 Revenue: $4,726,088 Income: $1,125,198 Amazon FBA",https://quietlight.com/listings/13938228/,Amazon FBA
QuietLight,"9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available",,"$4,615,205",,"9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available $2,235,000 Revenue: $4,615,205 Income: $638,584 Amazon FBA",https://quietlight.com/listings/16381108/,Amazon FBA
QuietLight,"Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available",,"$7,966,554",,"Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available $2,200,000 Revenue: $7,966,554 Income: $847,856 Amazon FBA",https://quietlight.com/listings/16844681/,Amazon FBA
QuietLight,Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews,,"$3,614,069",,"Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews $1,150,000 Revenue: $3,614,069 Income: $555,779 Amazon FBA",https://quietlight.com/listings/16859412/,Amazon FBA
QuietLight,Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue,,"$925,000",,"Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue $925,000 Revenue: $799,002 Income: $276,460 Amazon FBA",https://quietlight.com/listings/13369216/,Amazon FBA
QuietLight,8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.,,"$553,106",,"Under Offer 8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos. $655,900 Revenue: $553,106 Income: $218,636 Amazon FBA",https://quietlight.com/listings/13384086/,Amazon FBA
QuietLight,Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,,"$3,568,938",,"Under Offer Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead $650,000 Revenue: $3,568,938 Income: $420,981 Amazon FBA",https://quietlight.com/listings/15594313/,Amazon FBA
QuietLight,7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising,,"$1,578,995",,"7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising $645,000 Revenue: $1,578,995 Income: $214,955 Amazon FBA",https://quietlight.com/listings/16702772/,Amazon FBA
QuietLight,8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE,,"$1,372,142","$530,000","Under Offer 8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE $530,000 Revenue: $1,372,142 Income: $171,144 Amazon FBA",https://quietlight.com/listings/9010087/,Amazon FBA
QuietLight,11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews,,"$255,156",,"11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews $405,000 Revenue: $255,156 Income: $103,723 Amazon FBA",https://quietlight.com/listings/17337235/,Amazon FBA
