source,name,price,revenue,profit,description,url,category
QuietLight,Simple Amazon FBA Accounting Ledger Books Business w/23% Margins | 3.92x ROAS | Low Workload,"$250,192","$250,192","$57,088","Simple Amazon FBA Accounting Ledger Books Business w/23% Margins | 3.92x ROAS | Low Workload $200,000 Revenue: $250,192 Income: $57,088 Amazon FBA",https://quietlight.com/listings/16921449/,Amazon FBA
QuietLight,8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE,"$1,372,142","$1,372,142","$530,000","Under Offer 8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE $530,000 Revenue: $1,372,142 Income: $171,144 Amazon FBA",https://quietlight.com/listings/9010087/,Amazon FBA
QuietLight,"9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available","$4,615,205","$4,615,205","$638,584","9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available $2,235,000 Revenue: $4,615,205 Income: $638,584 Amazon FBA",https://quietlight.com/listings/16381108/,Amazon FBA
QuietLight,7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising,"$1,578,995","$1,578,995","$214,955","7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising $645,000 Revenue: $1,578,995 Income: $214,955 Amazon FBA",https://quietlight.com/listings/16702772/,Amazon FBA
QuietLight,Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews,"$3,614,069","$3,614,069","$555,779","Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews $1,150,000 Revenue: $3,614,069 Income: $555,779 Amazon FBA",https://quietlight.com/listings/16859412/,Amazon FBA
QuietLight,11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews,"$405,000","$255,156","$103,723","11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews $405,000 Revenue: $255,156 Income: $103,723 Amazon FBA",https://quietlight.com/listings/17337235/,Amazon FBA
QuietLight,8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.,"$655,900","$553,106","$218,636","Under Offer 8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos. $655,900 Revenue: $553,106 Income: $218,636 Amazon FBA",https://quietlight.com/listings/13384086/,Amazon FBA
QuietLight,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,"$17,442,054","$17,442,054","$2,566,134","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA",https://quietlight.com/listings/16065383/,Amazon FBA
QuietLight,EU-Based Amazon FBA Gardening Business | 1.9x Multiple | Low Workload | VAT Management in Place,"$260,708","$260,708","$49,766","EU-Based Amazon FBA Gardening Business | 1.9x Multiple | Low Workload | VAT Management in Place $94,500 Revenue: $260,708 Income: $49,766 Amazon FBA",https://quietlight.com/listings/16051221/,Amazon FBA
QuietLight,Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,"$3,568,938","$3,568,938","$420,981","Under Offer Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead $650,000 Revenue: $3,568,938 Income: $420,981 Amazon FBA",https://quietlight.com/listings/15594313/,Amazon FBA
