name,url,price,revenue,profit,description,source,category
Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,https://quietlight.com/listings/16065383/,$17.4M,"$17,442,054","$2,566,134",,QuietLight,Amazon FBA
Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps,https://quietlight.com/amazon-fba-businesses-for-sale/,"$20,299,000","$16,973,677","$3,340,187",,QuietLight,Amazon FBA
"SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews",https://quietlight.com/listings/12973521/,"$10,425,000","$14,257,120","$2,978,291",,QuietLight,Amazon FBA
"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins",https://quietlight.com/listings/15830388/,"$8,000,000","$4,069,217","$1,332,198",,QuietLight,Amazon FBA
"9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available",https://quietlight.com/listings/16381108/,"$2,235,000","$4,615,205","$638,584",,QuietLight,Amazon FBA
"Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available",https://quietlight.com/listings/16844681/,"$2,200,000","$7,966,554","$847,856",,QuietLight,Amazon FBA
Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews,https://quietlight.com/listings/16859412/,"$1,150,000","$3,614,069","$555,779",,QuietLight,Amazon FBA
Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue,https://quietlight.com/listings/13369216/,"$925,000","$799,002","$276,460",,QuietLight,Amazon FBA
8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.,https://quietlight.com/listings/13384086/,"$655,900","$553,106","$218,636",,QuietLight,Amazon FBA
Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,https://quietlight.com/listings/15594313/,"$650,000","$3,568,938","$420,981",,QuietLight,Amazon FBA
7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising,https://quietlight.com/listings/16702772/,"$645,000","$1,578,995","$214,955",,QuietLight,Amazon FBA
8 Year Old – Women’s Swim and Apparel Brand | FBA + Shopify | $171k SDE,https://quietlight.com/listings/9010087/,"$530,000","$1,372,142","$171,144",,QuietLight,Amazon FBA
11 Year Old Niche Hardware Amazon FBA Business w/Low SKU Count | 40% Net Margins | Amazing Reviews,https://quietlight.com/listings/17337235/,"$405,000","$255,156","$103,723",,QuietLight,Amazon FBA
4-Year-Old Travel Accessories FBA Brand + Wholesale | Low Workload | Proprietary Tooling | $113K SDE,https://quietlight.com/listings/16878540/,"$350,000","$601,771","$114,752",,QuietLight,Amazon FBA
Simple Amazon FBA Accounting Ledger Books Business w/23% Margins | 3.92x ROAS | Low Workload,https://quietlight.com/listings/16921449/,"$200,000","$250,192","$57,088",,QuietLight,Amazon FBA
Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations,https://quietlight.com/listings/16944105/,"$140,000","$174,526","$52,032",,QuietLight,Amazon FBA
EU-Based Amazon FBA Gardening Business | 1.9x Multiple | Low Workload | VAT Management in Place,https://quietlight.com/listings/16051221/,"$94,500","$260,708","$49,766",,QuietLight,Amazon FBA
"Patented FBA Pet Travel Brand | 2,700+ 4.5-Star Reviews | Proven Market Fit | Huge Growth Potential",https://quietlight.com/listings/16670865/,"$80,000","$201,719","$6,757",,QuietLight,Amazon FBA
Distressed $28M Global Footwear Platform | Strategic Liquidation | 21 Channels | Recovery Ready,https://quietlight.com/listings/17339742/,$28M,"$28,493,004","1,500,356",,QuietLight,Amazon FBA
25 Year Old Outdoor Sporting Goods Ecommerce Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$22,523,477","$22,523,477","$2,028,466",,QuietLight,Amazon FBA
Thriving Women’s Health Supplement Business | $5.7M SDE | 300%+ Growth | Owners Capping Growth,https://quietlight.com/listings/15960930/,"$25,000,000","$10,873,231","$5,706,691",,QuietLight,Amazon FBA
SBA & Conv. PQ – $8M | 17-Yr-Old Multi-Channel Consumer Tech | YoY 24% Rev & 22% SDE Growth | 3.4x,https://quietlight.com/listings/15298647/,"$8,999,000","$11,175,171","$2,653,336",,QuietLight,Amazon FBA
Shopify/Amazon Sea Moss Brand | $270K+ MRR | 90%+ Gross Margin | US Made | 30%+ Growth,https://quietlight.com/listings/12197700/,"$5,850,000","$14,323,803","$1,463,306",,QuietLight,Amazon FBA
Established Orthotic Insole Brand | 78% YoY Growth | 75% Gross Margin | Rising AOV | Strong Brand,https://quietlight.com/listings/17007115/,"$4,000,000","$6,200,291","$1,162,485",,QuietLight,Amazon FBA
5-Year-Old Established Supplements Brand | 60% Returning Customers | 4-5 Hours Weekly Management,https://quietlight.com/listings/16647116/,"$3,500,000","$4,736,490","$905,162",,QuietLight,Amazon FBA
2-Year-Old Drop-Shipping Fashion Brand | Evergreen Catalog | $8 Million in Revenue | Very Low Multiple,https://quietlight.com/listings/15664017/,"$1,500,000","$8,188,826","$702,801",,QuietLight,Amazon FBA
Growing Shopify Health and Wellness Coffee Alternative Consumable CPG Brand | $77 AOV | $20K+ MRR,https://quietlight.com/listings/17166725/,"$1,350,000","$2,323,920","$426,262",,QuietLight,Amazon FBA
SBA Pre-Qualified: 30+ Year Porsche Performance Parts Manufacturing | Made in USA | $328K SDE,https://quietlight.com/listings/14097773/,"$1,150,000","$655,399","$328,062",,QuietLight,Amazon FBA
SBA Eligible: 20-Year-Old USA Manufacturing Biz | Premium Automotive Products | 77% Gross Margins,https://quietlight.com/listings/15995434/,"$1,000,000","$1,214,645","$308,338",,QuietLight,Amazon FBA
11-Year-Old Patented Desk Treadmill Brand | SBA Eligible | Big Growth Opportunities,https://quietlight.com/listings/16363673/,"$950,000","$898,759","$295,430",,QuietLight,Amazon FBA
SBA Pre-Qualified Diversified Musical Instrument E-Retailer: Exclusive Relationships & Strong YoY Growth,https://quietlight.com/listings/16985558/,"$757,900","$1,029,058","$270,713",,QuietLight,Amazon FBA
Premium Cannabis Hardware Shopify Brand | $115 AOV | 30% Returning Customer Rate | Ready for Scale,https://quietlight.com/listings/16012265/,"$690,000","$1,113,116","$275,543",,QuietLight,Amazon FBA
Premium Snack Subscription Box Biz | US Supply Chain | 36% Repeat Customer Rate | 58% SDE Growth,https://quietlight.com/listings/17224025/,"$615,000","$519,702","$186,558",,QuietLight,Amazon FBA
"20-Year-Old Maternity Line | Evergreen Styles | Wholesale, Drop-Ship, and DTC Channels | $184k SDE",https://quietlight.com/listings/15616862/,"$590,000","$812,145","$184,609",,QuietLight,Amazon FBA
5-Year-Old Video Editing Digital Products Business | 35% TTM SDE Growth,https://quietlight.com/listings/17148431/,"$550,000","$723,017","$212,343",,QuietLight,Amazon FBA
6-Year-Old Drop-Ship Business Selling Japanese Goods | Strong Growth in 2025 | 32% Net Margins,https://quietlight.com/listings/17555420/,"$499,999","$402,855","$132,309",,QuietLight,Amazon FBA
"High-Margin, Premium Hemp Products | 40% Repeat Purchase Rate | YOY TTM 285% Rev & 388% SDE Growth",https://quietlight.com/listings/15140904/,"$499,000","$717,530","$200,131",,QuietLight,Amazon FBA
10 Year Old Amazon FBA and Shopify Nootropics Biz w/Solid Reputation & High Margins,https://quietlight.com/listings/16576760/,"$425,000","$242,047","$142,047",,QuietLight,Amazon FBA
Premium Wristwatch Ecomm Business | 67% Net Profit Margins | Low Workload | High-Profile Collabs,https://quietlight.com/listings/16316699/,"$280,000","$174,850","$118,266",,QuietLight,Amazon FBA
18-Year-Old Established Custom Greeting Card Business | 60% Repeat Customer Rate | $525 AOV,https://quietlight.com/listings/17329259/,"$275,000","$353,903","$99,293",,QuietLight,Amazon FBA
Premium Pet Accessories Wholesale Brand | Celebrity Worn | 50% Net Margins | Amazon Untapped,https://quietlight.com/listings/17140416/,"$205,000","$160,956","$81,523",,QuietLight,Amazon FBA
